No,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
2803,FDC02,21.35,1,.068765205,6,260.4278,2,1987,3,3,2,3644.5892
2369,FDC02,21.35,1,.068809463,6,258.5278,7,2004,1,2,2,5206.556
4469,FDC02,21.35,1,.068822477,6,258.3278,9,1997,1,1,2,7028.8506
5783,FDA45,21.25,1,.155250377,2,175.737,2,1987,3,3,2,2117.244
5960,FDQ21,21.25,1,.019407069,2,119.3756,2,1987,3,3,2,3271.7412
7093,FDQ21,21.25,1,.01945343,2,120.8756,10,1999,2,1,2,1454.1072
7431,NCO42,21.25,1,.024693927,3,144.1102,10,1999,2,1,2,1749.7224
149,FDA45,21.25,1,.155350299,2,178.237,7,2004,1,2,2,529.311
2233,FDT03,21.25,1,.009996872,10,185.5608,7,2004,1,2,2,3123.9336
3479,FDQ21,21.25,1,.019423232,2,120.8756,9,1997,1,1,2,3150.5656
5112,NCO42,21.25,1,.024650932,3,146.0102,7,2004,1,2,2,2916.204
6224,FDT03,21.25,1,.009998763,10,182.3608,9,1997,1,1,2,551.2824
5166,FDG35,21.2,2,0,13,173.6738,10,1999,2,1,2,2954.1546
398,FDG35,21.2,2,.00704098,13,173.5738,9,1997,1,1,2,2954.1546
2069,NCD54,21.1,1,.028984804,3,146.1786,2,1987,3,3,2,3034.0506
4430,NCE42,21.1,1,.010593469,3,234.2958,2,1987,3,3,2,3739.1328
3803,NCD54,21.1,1,.029054046,3,144.6786,10,1999,2,1,2,2889.572
4405,FDO01,21.1,2,.020750867,14,128.7994,10,1999,2,1,2,1927.491
1053,NCD54,21.1,1,.029003459,3,143.4786,7,2004,1,2,2,2311.6576
3910,FDO01,21.1,2,.020718655,14,130.4994,9,1997,1,1,2,2184.4898
5420,NCD54,21.1,1,.029008944,3,143.3786,9,1997,1,1,2,866.8716
7602,FDP31,21.1,2,.161474419,1,62.9168,7,2004,1,2,2,1086.5856
7961,FDP31,21.1,2,.161504957,1,65.0168,9,1997,1,1,2,639.168
8178,NCE42,21.1,1,.010600287,3,233.9958,7,2004,1,2,2,1869.5664
8323,NCE42,21.1,1,.010602292,3,235.3958,9,1997,1,1,2,3271.7412
945,FDH10,21,1,.049263979,2,195.0478,2,1987,3,3,2,1549.9824
6203,FDH10,21,1,.049381666,2,193.0478,10,1999,2,1,2,1549.9824
3792,FDH10,21,1,.049295686,2,194.4478,7,2004,1,2,2,968.739
930,FDU40,20.85,1,.037372847,4,192.7478,2,1987,3,3,2,3099.9648
3247,FDF47,20.85,1,.097536998,13,225.3746,2,1987,3,3,2,3365.619
5021,FDS24,20.85,2,.062172698,7,90.2514,2,1987,3,3,2,619.8598
5259,FDB45,20.85,1,.021312043,1,104.9306,2,1987,3,3,2,2299.6732
7883,FDS60,20.85,1,.032421521,7,181.666,2,1987,3,3,2,1438.128
90,FDN27,20.85,1,.039624006,10,117.2808,10,1999,2,1,2,1523.3504
325,FDB45,20.85,1,.021362955,1,103.2306,10,1999,2,1,2,2404.2038
3012,FDS24,20.85,2,.062321222,7,87.2514,10,1999,2,1,2,265.6542
5609,FDV58,20.85,1,.121438886,2,196.1452,10,1999,2,1,2,1565.9616
6811,FDF47,20.85,1,.097770004,13,222.8746,10,1999,2,1,2,3589.9936
602,FDV58,20.85,1,.121250374,2,193.9452,9,1997,1,1,2,1565.9616
2281,FDS24,20.85,2,.062212713,7,88.1514,7,2004,1,2,2,1151.1682
2360,FDF47,20.85,1,.097618234,13,223.9746,9,1997,1,1,2,897.4984
2463,FDS24,20.85,2,.062224479,7,88.1514,9,1997,1,1,2,1682.4766
