Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDA15,9.3,0,0.016047301,1,249.8092,OUT049,1999,1,0,1,0.2835866571457717
DRC01,5.92,2,0.019278216,0,48.2692,OUT018,2009,1,2,2,0.031418953381617876
FDN15,17.5,0,0.016760075,1,141.618,OUT049,1999,1,0,1,0.1581148627971029
FDX07,19.2,2,0.015273673333333335,1,182.095,OUT010,1998,1,2,0,0.053555034173212286
NCD19,8.93,1,0.008082153,2,53.8614,OUT013,1987,0,2,1,0.07365092318677956
FDP36,10.395,2,0.060928214,1,51.4008,OUT018,2009,1,2,2,0.04008976843823319
FDO10,13.65,2,0.012741089,1,57.6588,OUT013,1987,0,2,1,0.02376823421401612
FDP10,12.857645184136183,0,0.127469857,1,107.7622,OUT027,1985,1,2,3,0.30562072834846477
FDH17,16.2,2,0.016687114,1,96.9726,OUT045,2002,1,1,1,0.079924512904213
FDU28,19.2,2,0.09444959,1,187.8214,OUT017,2007,1,1,1,0.3583086810160155
FDY07,11.8,0,0.052234102857142854,1,45.5402,OUT049,1999,1,0,1,0.11358767724166072
FDA03,18.5,2,0.045463773,1,144.1102,OUT046,1997,2,0,1,0.16500051004794447
FDX32,15.1,2,0.1000135,1,145.4786,OUT049,1999,1,0,1,0.11919820463123534
FDS46,17.6,2,0.047257328,1,119.6782,OUT046,1997,2,0,1,0.16178720799755178
FDF32,16.35,0,0.0680243,1,196.4426,OUT013,1987,0,2,1,0.14893399979598082
FDP49,9.0,2,0.069088961,1,56.3614,OUT046,1997,2,0,1,0.1159849025808426
NCB42,11.8,1,0.008596051,2,115.3492,OUT018,2009,1,2,2,0.12169743955931858
FDP49,9.0,2,0.069196376,1,54.3614,OUT049,1999,1,0,1,0.05248393348974804
DRI11,12.857645184136183,0,0.034237682,0,113.2834,OUT027,1985,1,2,3,0.17392634907681323
FDU02,13.35,0,0.10249212,1,230.5352,OUT035,2004,2,1,1,0.20799755176986637
FDN22,18.85,2,0.138190277,1,250.8724,OUT013,1987,0,2,1,0.2866469448128124
FDW12,12.857645184136183,2,0.035399923,1,144.5444,OUT027,1985,1,2,3,0.3087830256044068
NCB30,14.6,1,0.025698134,2,196.5084,OUT035,2004,2,1,1,0.1190451902478833
FDC37,12.857645184136183,0,0.057556998,1,107.6938,OUT019,1985,2,0,0,0.013873304090584515
FDR28,13.85,2,0.025896485,1,165.021,OUT046,1997,2,0,1,0.30985412628787107
NCD06,13.0,1,0.099887103,2,45.906,OUT017,2007,1,1,1,0.06171580128532082
FDV10,7.645,2,0.066693437,1,42.3112,OUT035,2004,2,1,1,0.07905743139855147
DRJ59,11.65,0,0.019356132,0,39.1164,OUT013,1987,0,2,1,0.021115984902580844
FDE51,5.925,2,0.161466534,1,45.5086,OUT010,1998,1,2,0,0.011119045190247884
FDC14,12.857645184136183,2,0.072221801,1,43.6454,OUT019,1985,2,0,0,0.0070896664286442925
FDV38,19.25,0,0.170348551,1,55.7956,OUT010,1998,1,2,0,0.00999693971233296
NCS17,18.6,1,0.080829372,2,96.4436,OUT018,2009,1,2,2,0.20748750382535958
FDP33,18.7,0,0.08556526183333334,1,256.6672,OUT018,2009,1,2,2,0.23247985310619199
FDO23,17.85,0,0.14129689414285715,1,93.1436,OUT045,2002,1,1,1,0.16403141895338164
DRH01,17.5,0,0.097904029,0,174.8738,OUT046,1997,2,0,1,0.1571967764969907
NCX29,10.0,1,0.089291137,2,146.7102,OUT049,1999,1,0,1,0.2878710598796287
FDV20,12.857645184136183,2,0.059511812,1,128.0678,OUT027,1985,1,2,3,0.21177190655921657
DRZ11,8.85,2,0.113123893,0,122.5388,OUT018,2009,1,2,2,0.12077935325920636
FDX10,12.857645184136183,2,0.123111453,1,36.9874,OUT027,1985,1,2,3,0.02718555544221157
FDB34,12.857645184136183,0,0.026480954,1,87.6198,OUT027,1985,1,2,3,0.1644904621034377
FDU02,13.35,0,0.102511504,1,230.6352,OUT046,1997,2,0,1,0.2606344996429664
FDK43,9.8,0,0.02681843,1,126.002,OUT013,1987,0,2,1,0.16219524635315719
FDA46,13.6,0,0.117818348,1,192.9136,OUT049,1999,1,0,1,0.19106396001224116
FDC02,21.35,0,0.069102831,1,259.9278,OUT018,2009,1,2,2,0.5159645006630623
