Age,Gender,Amount,Interest,MonthlyPayment,UseOfLoan,Education,MaritalStatus,EmploymentStatus,WorkExperience,HomeOwnershipType,IncomeTotal,DebtToIncome,Status
20,0.0,319.56,40.0,0.0,3,3.0,3.0,2,2,0.0,26500.0,0.0,1
49,1.0,319.56,30.0,0.0,7,2.0,4.0,2,5,0.0,6200.0,0.0,1
19,0.0,70.3,49.0,0.0,8,2.0,2.0,2,2,0.0,12000.0,0.0,1
18,0.0,6.39,49.0,0.0,7,2.0,2.0,2,2,0.0,11175.0,0.0,1
41,0.0,191.75,30.0,0.0,2,5.0,1.0,2,1,0.0,22000.0,0.0,1
19,0.0,19.17,49.0,0.0,7,2.0,2.0,2,2,0.0,8700.0,0.0,1
36,0.0,12.7862,30.0,0.0,7,5.0,1.0,2,4,0.0,10200.0,0.0,1
19,0.0,287.59,40.0,0.0,8,2.0,2.0,2,2,0.0,12000.0,0.0,1
59,1.0,306.7842,30.0,0.0,2,4.0,5.0,2,5,0.0,9000.0,0.0,1
22,0.0,319.5681,30.0,0.0,6,4.0,3.0,2,2,0.0,8300.0,0.0,1
23,0.0,5500.0,44.65,246.42,0,4.0,3.0,2,2,4.0,650.0,52.06,2
25,0.0,1200.0,23.83,37.9,7,3.0,3.0,2,3,2.0,445.0,24.7,2
22,1.0,1000.0,75.19,67.25,7,2.0,2.0,0,4,2.0,1117.0,6.02,2
28,0.0,2000.0,24.46,63.9,7,5.0,2.0,2,2,1.0,2097.0,3.05,0
49,1.0,1000.0,21.76,30.4,7,2.0,1.0,2,1,4.0,1472.0,22.65,2
25,1.0,4100.0,36.81,162.26,0,4.0,2.0,2,3,2.0,503.0,36.23,2
29,0.0,1800.0,20.78,53.72,0,4.0,3.0,2,0,3.0,690.0,63.58,2
46,1.0,2000.0,23.03,83.28,7,2.0,1.0,2,1,5.0,1800.0,37.96,1
21,0.0,700.0,35.6,27.15,4,5.0,3.0,0,2,3.0,970.0,2.8,1
63,1.0,2360.0,34.0,113.31,2,2.0,1.0,0,5,1.0,4020.0,11.77,2
35,0.0,2000.0,31.12,91.97,7,5.0,1.0,0,0,1.0,1700.0,5.41,2
47,1.0,600.0,21.62,18.19,6,4.0,2.0,2,0,1.0,718.0,2.53,2
42,0.0,1000.0,40.4,41.94,3,4.0,4.0,0,5,3.0,1200.0,3.5,1
35,1.0,1000.0,31.12,35.97,7,2.0,1.0,2,1,8.0,1410.0,30.92,2
